,Indicator,Year,Geography,FIPS,Cases,Rate per 100000
0,Chlamydia,2000,Alabama,1,15323.0,344.2
1,Chlamydia,2001,Alabama,1,14524.0,325.4
2,Chlamydia,2002,Alabama,1,15611.0,349.1
3,Chlamydia,2003,Alabama,1,14209.0,316.5
4,Chlamydia,2004,Alabama,1,13314.0,295.2
5,Chlamydia,2005,Alabama,1,17109.0,376.6
6,Chlamydia,2006,Alabama,1,22915.0,498.7
7,Chlamydia,2007,Alabama,1,25153.0,542.8
8,Chlamydia,2008,Alabama,1,24760.0,529.8
9,Chlamydia,2009,Alabama,1,25929.0,550.8
10,Chlamydia,2010,Alabama,1,27041.0,565.1
11,Chlamydia,2011,Alabama,1,29626.0,617.3
12,Chlamydia,2012,Alabama,1,30621.0,635.9
13,Chlamydia,2013,Alabama,1,29464.0,610.0
14,Chlamydia,2014,Alabama,1,29010.0,599.2
15,Chlamydia,2015,Alabama,1,26359.0,543.2
16,Chlamydia,2016,Alabama,1,26901.0,553.1
17,Chlamydia,2017,Alabama,1,29935.0,614.1
18,Chlamydia,2018,Alabama,1,28437.0,581.8
19,Chlamydia,2019,Alabama,1,31228.0,636.9
20,Chlamydia,2020,Alabama,1,27075.0,538.9
21,Chlamydia,2021,Alabama,1,31507.0,625.2
22,Chlamydia,2022,Alabama,1,31060.0,612.1
23,Chlamydia,2023,Alabama,1,33261.0,651.1
24,Chlamydia,2000,Alaska,2,2569.0,409.2
25,Chlamydia,2001,Alaska,2,2744.0,433.1
26,Chlamydia,2002,Alaska,2,3806.0,592.9
27,Chlamydia,2003,Alaska,2,3900.0,602.2
28,Chlamydia,2004,Alaska,2,3954.0,599.7
29,Chlamydia,2005,Alaska,2,4355.0,652.8
30,Chlamydia,2006,Alaska,2,4525.0,670.1
31,Chlamydia,2007,Alaska,2,4911.0,722.3
32,Chlamydia,2008,Alaska,2,4861.0,709.1
33,Chlamydia,2009,Alaska,2,5166.0,743.6
34,Chlamydia,2010,Alaska,2,6019.0,843.1
35,Chlamydia,2011,Alaska,2,5739.0,794.7
36,Chlamydia,2012,Alaska,2,5462.0,747.8
37,Chlamydia,2013,Alaska,2,5774.0,783.4
38,Chlamydia,2014,Alaska,2,5789.0,786.2
39,Chlamydia,2015,Alaska,2,5660.0,767.5
40,Chlamydia,2016,Alaska,2,5698.0,768.5
41,Chlamydia,2017,Alaska,2,5934.0,802.2
42,Chlamydia,2018,Alaska,2,6159.0,837.8
43,Chlamydia,2019,Alaska,2,6254.0,854.9
44,Chlamydia,2020,Alaska,2,5090.0,694.0
45,Chlamydia,2021,Alaska,2,5571.0,760.4
46,Chlamydia,2022,Alaska,2,5338.0,727.7
