"Date Printed: Thursday, January 1, 2026 7:29:20 PM"
Title: "Chlamydia | 2000 | 2001 | 2002 | 2003 | 2004 | 2005 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | 2023 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | All age groups | All transmission categories""
Footnote(s): 
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"Chlamydia","2000","Alabama","01","15,323","344.2"
"Chlamydia","2001","Alabama","01","14,524","325.4"
"Chlamydia","2002","Alabama","01","15,611","349.1"
"Chlamydia","2003","Alabama","01","14,209","316.5"
"Chlamydia","2004","Alabama","01","13,314","295.2"
"Chlamydia","2005","Alabama","01","17,109","376.6"
"Chlamydia","2006","Alabama","01","22,915","498.7"
"Chlamydia","2007","Alabama","01","25,153","542.8"
"Chlamydia","2008","Alabama","01","24,760","529.8"
"Chlamydia","2009","Alabama","01","25,929","550.8"
"Chlamydia","2010","Alabama","01","27,041","565.1"
"Chlamydia","2011","Alabama","01","29,626","617.3"
"Chlamydia","2012","Alabama","01","30,621","635.9"
"Chlamydia","2013","Alabama","01","29,464","610.0"
"Chlamydia","2014","Alabama","01","29,010","599.2"
"Chlamydia","2015","Alabama","01","26,359","543.2"
"Chlamydia","2016","Alabama","01","26,901","553.1"
"Chlamydia","2017","Alabama","01","29,935","614.1"
"Chlamydia","2018","Alabama","01","28,437","581.8"
"Chlamydia","2019","Alabama","01","31,228","636.9"
"Chlamydia","2020 (COVID-19 Pandemic)","Alabama","01","27,075","538.9"
"Chlamydia","2021","Alabama","01","31,507","625.2"
"Chlamydia","2022","Alabama","01","31,060","612.1"
"Chlamydia","2023","Alabama","01","33,261","651.1"
"Chlamydia","2000","Alaska","02","2,569","409.2"
"Chlamydia","2001","Alaska","02","2,744","433.1"
"Chlamydia","2002","Alaska","02","3,806","592.9"
"Chlamydia","2003","Alaska","02","3,900","602.2"
"Chlamydia","2004","Alaska","02","3,954","599.7"
"Chlamydia","2005","Alaska","02","4,355","652.8"
"Chlamydia","2006","Alaska","02","4,525","670.1"
"Chlamydia","2007","Alaska","02","4,911","722.3"
"Chlamydia","2008","Alaska","02","4,861","709.1"
"Chlamydia","2009","Alaska","02","5,166","743.6"
"Chlamydia","2010","Alaska","02","6,019","843.1"
"Chlamydia","2011","Alaska","02","5,739","794.7"
"Chlamydia","2012","Alaska","02","5,462","747.8"
"Chlamydia","2013","Alaska","02","5,774","783.4"
"Chlamydia","2014","Alaska","02","5,789","786.2"
"Chlamydia","2015","Alaska","02","5,660","767.5"
"Chlamydia","2016","Alaska","02","5,698","768.5"
"Chlamydia","2017","Alaska","02","5,934","802.2"
"Chlamydia","2018","Alaska","02","6,159","837.8"
"Chlamydia","2019","Alaska","02","6,254","854.9"
"Chlamydia","2020 (COVID-19 Pandemic)","Alaska","02","5,090","694.0"
"Chlamydia","2021","Alaska","02","5,571","760.4"
"Chlamydia","2022","Alaska","02","5,338","727.7"
"Chlamydia","2023","Alaska","02","5,117","697.7"
"Chlamydia","2000","Arizona","04","12,612","244.1"
"Chlamydia","2001","Arizona","04","14,354","270.6"
"Chlamydia","2002","Arizona","04","14,921","273.7"
"Chlamydia","2003","Arizona","04","12,819","229.3"
"Chlamydia","2004","Arizona","04","16,786","291.5"
"Chlamydia","2005","Arizona","04","21,264","355.9"
"Chlamydia","2006","Arizona","04","24,090","389.1"
"Chlamydia","2007","Arizona","04","24,866","391.0"
"Chlamydia","2008","Arizona","04","24,769","381.1"
"Chlamydia","2009","Arizona","04","26,002","394.7"
"Chlamydia","2010","Arizona","04","26,861","419.2"
"Chlamydia","2011","Arizona","04","29,251","451.9"
"Chlamydia","2012","Arizona","04","30,444","464.4"
"Chlamydia","2013","Arizona","04","30,564","460.8"
"Chlamydia","2014","Arizona","04","32,397","481.4"
"Chlamydia","2015","Arizona","04","32,387","474.2"
"Chlamydia","2016","Arizona","04","34,923","503.1"
"Chlamydia","2017","Arizona","04","39,598","562.2"
"Chlamydia","2018","Arizona","04","40,807","570.1"
"Chlamydia","2019","Arizona","04","43,058","591.6"
"Chlamydia","2020 (COVID-19 Pandemic)","Arizona","04","37,289","521.4"
"Chlamydia","2021","Arizona","04","41,498","570.3"
"Chlamydia","2022","Arizona","04","40,796","554.4"
"Chlamydia","2023","Arizona","04","41,058","552.5"
"Chlamydia","2000","Arkansas","05","6,219","232.2"
"Chlamydia","2001","Arkansas","05","7,280","270.6"
"Chlamydia","2002","Arkansas","05","7,312","270.4"
"Chlamydia","2003","Arkansas","05","7,856","288.5"
"Chlamydia","2004","Arkansas","05","7,864","286.4"
"Chlamydia","2005","Arkansas","05","8,507","306.4"
"Chlamydia","2006","Arkansas","05","8,259","293.4"
"Chlamydia","2007","Arkansas","05","9,954","350.3"
"Chlamydia","2008","Arkansas","05","14,136","493.0"
"Chlamydia","2009","Arkansas","05","14,354","497.1"
"Chlamydia","2010","Arkansas","05","15,424","527.9"
"Chlamydia","2011","Arkansas","05","16,052","545.9"
"Chlamydia","2012","Arkansas","05","16,611","562.7"
"Chlamydia","2013","Arkansas","05","15,447","522.0"
"Chlamydia","2014","Arkansas","05","15,605","525.9"
"Chlamydia","2015","Arkansas","05","16,166","542.8"
"Chlamydia","2016","Arkansas","05","16,737","559.8"
"Chlamydia","2017","Arkansas","05","17,320","577.1"
"Chlamydia","2018","Arkansas","05","17,663","586.9"
"Chlamydia","2019","Arkansas","05","17,196","569.8"
"Chlamydia","2020 (COVID-19 Pandemic)","Arkansas","05","16,053","533.1"
"Chlamydia","2021","Arkansas","05","17,936","592.8"
"Chlamydia","2022","Arkansas","05","17,918","588.3"
"Chlamydia","2023","Arkansas","05","17,781","579.6"
"Chlamydia","2000","California","06","95,316","280.4"
"Chlamydia","2001","California","06","101,915","295.6"
"Chlamydia","2002","California","06","110,288","316.3"
"Chlamydia","2003","California","06","117,428","333.3"
"Chlamydia","2004","California","06","122,197","343.8"
"Chlamydia","2005","California","06","130,716","365.4"
"Chlamydia","2006","California","06","135,827","377.8"
"Chlamydia","2007","California","06","141,928","392.2"
"Chlamydia","2008","California","06","148,798","407.2"
"Chlamydia","2009","California","06","146,796","398.0"
"Chlamydia","2010","California","06","150,443","403.1"
"Chlamydia","2011","California","06","166,773","443.1"
"Chlamydia","2012","California","06","167,695","441.9"
"Chlamydia","2013","California","06","167,346","437.4"
"Chlamydia","2014","California","06","176,308","456.8"
"Chlamydia","2015","California","06","189,170","486.1"
"Chlamydia","2016","California","06","198,155","505.9"
"Chlamydia","2017","California","06","218,785","555.9"
"Chlamydia","2018","California","06","231,415","586.4"
"Chlamydia","2019","California","06","236,719","599.1"
"Chlamydia","2020 (COVID-19 Pandemic)","California","06","178,679","451.9"
"Chlamydia","2021","California","06","191,542","488.2"
"Chlamydia","2022","California","06","192,647","493.6"
"Chlamydia","2023","California","06","191,357","491.1"
"Chlamydia","2000","Colorado","08","12,000","277.2"
"Chlamydia","2001","Colorado","08","13,239","298.7"
"Chlamydia","2002","Colorado","08","14,028","311.5"
"Chlamydia","2003","Colorado","08","13,039","286.8"
"Chlamydia","2004","Colorado","08","14,151","307.9"
"Chlamydia","2005","Colorado","08","15,432","331.5"
"Chlamydia","2006","Colorado","08","16,313","343.6"
"Chlamydia","2007","Colorado","08","17,186","355.3"
"Chlamydia","2008","Colorado","08","19,180","389.2"
"Chlamydia","2009","Colorado","08","19,998","398.8"
"Chlamydia","2010","Colorado","08","19,447","385.3"
"Chlamydia","2011","Colorado","08","21,811","425.9"
"Chlamydia","2012","Colorado","08","21,631","416.6"
"Chlamydia","2013","Colorado","08","20,386","386.9"
"Chlamydia","2014","Colorado","08","21,863","408.6"
"Chlamydia","2015","Colorado","08","23,857","437.7"
"Chlamydia","2016","Colorado","08","25,569","461.6"
"Chlamydia","2017","Colorado","08","26,995","481.0"
"Chlamydia","2018","Colorado","08","29,124","511.7"
"Chlamydia","2019","Colorado","08","29,821","517.8"
"Chlamydia","2020 (COVID-19 Pandemic)","Colorado","08","26,137","452.7"
"Chlamydia","2021","Colorado","08","26,747","460.2"
"Chlamydia","2022","Colorado","08","26,646","456.3"
"Chlamydia","2023","Colorado","08","25,571","435.1"
"Chlamydia","2000","Connecticut","09","7,604","222.9"
"Chlamydia","2001","Connecticut","09","7,718","225.1"
"Chlamydia","2002","Connecticut","09","9,808","284.4"
"Chlamydia","2003","Connecticut","09","9,393","270.8"
"Chlamydia","2004","Connecticut","09","9,552","274.9"
"Chlamydia","2005","Connecticut","09","11,039","317.5"
"Chlamydia","2006","Connecticut","09","10,946","314.1"
"Chlamydia","2007","Connecticut","09","11,454","328.4"
"Chlamydia","2008","Connecticut","09","12,519","357.4"
"Chlamydia","2009","Connecticut","09","12,127","345.0"
"Chlamydia","2010","Connecticut","09","12,649","353.4"
"Chlamydia","2011","Connecticut","09","13,649","380.4"
"Chlamydia","2012","Connecticut","09","13,065","363.5"
"Chlamydia","2013","Connecticut","09","12,775","355.4"
"Chlamydia","2014","Connecticut","09","13,382","372.3"
"Chlamydia","2015","Connecticut","09","13,126","365.9"
"Chlamydia","2016","Connecticut","09","13,911","388.8"
"Chlamydia","2017","Connecticut","09","17,750","496.7"
"Chlamydia","2018","Connecticut","09","16,732","468.5"
"Chlamydia","2019","Connecticut","09","15,290","428.9"
"Chlamydia","2020 (COVID-19 Pandemic)","Connecticut","09","12,716","352.6"
"Chlamydia","2021","Connecticut","09","14,750","409.1"
"Chlamydia","2022","Connecticut","09","12,738","351.3"
"Chlamydia","2023","Connecticut","09","13,197","364.8"
"Chlamydia","2000","Delaware","10","2,856","363.2"
"Chlamydia","2001","Delaware","10","2,793","351.3"
"Chlamydia","2002","Delaware","10","2,649","329.2"
"Chlamydia","2003","Delaware","10","3,035","372.2"
"Chlamydia","2004","Delaware","10","2,954","357.1"
"Chlamydia","2005","Delaware","10","3,392","403.7"
"Chlamydia","2006","Delaware","10","3,615","423.6"
"Chlamydia","2007","Delaware","10","3,479","402.1"
"Chlamydia","2008","Delaware","10","3,868","441.2"
"Chlamydia","2009","Delaware","10","4,718","533.6"
"Chlamydia","2010","Delaware","10","4,464","496.2"
"Chlamydia","2011","Delaware","10","4,508","496.8"
"Chlamydia","2012","Delaware","10","4,438","484.9"
"Chlamydia","2013","Delaware","10","5,213","564.4"
